Row,Best_Algorithm
1,6
2,7
3,6
4,3
5,4
6,3
7,3
8,3
9,6
10,3
11,3
12,3
13,6
14,6
15,3
16,3
17,3
18,3
19,5
20,3
21,7
22,6
23,5
24,7
25,4
26,7
27,3
28,6
29,5
30,7
31,6
32,3
33,1
34,6
35,3
36,5
37,7
38,4
39,4
40,3
41,7
42,5
43,3
44,4
45,5
46,7
47,3
48,6
49,5
50,3
51,6
52,3
53,6
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,6
62,4
63,4
64,6
65,6
66,4
67,4
68,6
69,1
70,6
71,4
72,4
73,4
74,4
75,4
76,3
77,6
78,6
79,6
80,6
81,6
82,4
83,6
84,6
85,4
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,4
94,6
95,6
96,4
97,4
98,6
99,4
100,6
101,6
102,6
103,5
104,6
105,6
106,6
107,6
108,5
109,6
110,5
111,6
112,6
113,4
114,6
115,6
116,6
117,6
118,6
119,4
120,6
121,5
122,4
123,6
124,4
125,5
126,6
127,6
128,6
129,6
130,4
131,4
132,5
133,5
134,6
135,7
136,5
137,7
138,5
139,7
140,7
141,4
142,7
143,7
144,7
145,3
146,7
147,3
148,3
149,6
150,6
151,6
152,6
153,7
154,6
155,7
156,6
157,6
158,6
159,6
160,6
161,6
162,7
163,5
164,7
165,6
166,5
167,6
168,6
169,6
170,7
171,1
172,6
173,7
174,7
175,6
176,7
177,6
178,3
